probe,model,reference_length,eval_length,offset,offset_ratio,top1_accuracy,mean_reciprocal_rank,target_margin
exact_offset,RoPE,64,64,4,0.0625,1.0,1.0,0.007365175522863865
exact_offset,RoPE,64,64,8,0.125,1.0,1.0,0.007288769353181124
exact_offset,RoPE,64,64,16,0.25,1.0,1.0,0.007783667184412479
exact_offset,RoPE,64,64,32,0.5,1.0,1.0,0.007388453930616379
exact_offset,RoPE,64,64,48,0.75,1.0,1.0,0.0072807506658136845
exact_offset,RoPE,64,128,4,0.03125,1.0,1.0,0.007399601861834526
exact_offset,RoPE,64,128,8,0.0625,1.0,1.0,0.007352884393185377
exact_offset,RoPE,64,128,16,0.125,1.0,1.0,0.006701448000967503
exact_offset,RoPE,64,128,32,0.25,1.0,1.0,0.007682992145419121
exact_offset,RoPE,64,128,48,0.375,1.0,1.0,0.007251887582242489
exact_offset,RoPE,64,128,64,0.5,1.0,1.0,0.006785172037780285
exact_offset,RoPE,64,128,96,0.75,1.0,1.0,0.007729746401309967
exact_offset,RoPE,64,256,4,0.015625,1.0,1.0,0.008155697025358677
exact_offset,RoPE,64,256,8,0.03125,1.0,1.0,0.006762785837054253
exact_offset,RoPE,64,256,16,0.0625,1.0,1.0,0.006806781981140375
exact_offset,RoPE,64,256,32,0.125,1.0,1.0,0.006727748550474644
exact_offset,RoPE,64,256,48,0.1875,1.0,1.0,0.007773047313094139
exact_offset,RoPE,64,256,64,0.25,1.0,1.0,0.0068291546776890755
exact_offset,RoPE,64,256,96,0.375,1.0,1.0,0.008094933815300465
exact_offset,RoPE,64,256,128,0.5,1.0,1.0,0.00708980206400156
exact_offset,ScatRoPE-localized,64,64,4,0.0625,0.15625,0.5101562738418579,-0.0028421373572200537
exact_offset,ScatRoPE-localized,64,64,8,0.125,0.0,0.16870039701461792,-0.0136635173112154
exact_offset,ScatRoPE-localized,64,64,16,0.25,0.0,0.06250593811273575,-0.031447771936655045
exact_offset,ScatRoPE-localized,64,64,32,0.5,0.0,0.031539782881736755,-0.046745166182518005
exact_offset,ScatRoPE-localized,64,64,48,0.75,0.0,0.020631950348615646,-0.06318793445825577
exact_offset,ScatRoPE-localized,64,128,4,0.03125,0.15625,0.5395833253860474,-0.0023577704560011625
exact_offset,ScatRoPE-localized,64,128,8,0.0625,0.0,0.17682293057441711,-0.011622147634625435
exact_offset,ScatRoPE-localized,64,128,16,0.125,0.0,0.06245096027851105,-0.031609006226062775
exact_offset,ScatRoPE-localized,64,128,32,0.25,0.0,0.031163834035396576,-0.0554635263979435
exact_offset,ScatRoPE-localized,64,128,48,0.375,0.0,0.02061089128255844,-0.06072183698415756
exact_offset,ScatRoPE-localized,64,128,64,0.5,0.0,0.015384615398943424,-0.07216552644968033
exact_offset,ScatRoPE-localized,64,128,96,0.75,0.0,0.010369612835347652,-0.06524378806352615
exact_offset,ScatRoPE-localized,64,256,4,0.015625,0.125,0.5104166865348816,-0.0029175863601267338
exact_offset,ScatRoPE-localized,64,256,8,0.03125,0.0,0.18228547275066376,-0.012283620424568653
exact_offset,ScatRoPE-localized,64,256,16,0.0625,0.0,0.06436082720756531,-0.029947081580758095
exact_offset,ScatRoPE-localized,64,256,32,0.125,0.0,0.030875667929649353,-0.05464072898030281
exact_offset,ScatRoPE-localized,64,256,48,0.1875,0.0,0.0205981507897377,-0.058400265872478485
